Pattern,Vol/µl,[prot]/µM,No.concs,Shake time/s,Shake speed,Power,Standard Dev
−−++−+,10,2,12,60,200,4,
−−−+−−,10,2,4,60,200,1,
++−+−−,50,10,4,60,200,1,
++−+−+,50,10,4,60,200,4,
−−−−−+,10,2,4,10,200,4,
−+−−−−,10,10,4,10,200,1,
−−−++−,10,2,4,60,700,1,
+−−+−+,50,2,4,60,200,4,
+−−−++,50,2,4,10,700,4,
−−−−+−,10,2,4,10,700,1,
−+++−+,10,10,12,60,200,4,
−++−+−,10,10,12,10,700,1,
++++++,50,10,12,60,700,4,
+++−−−,50,10,12,10,200,1,
+−−−−−,50,2,4,10,200,1,
000000,30,6,8,35,450,2.5,
−+−++−,10,10,4,60,700,1,
−−++−−,10,2,12,60,200,1,
−++−++,10,10,12,10,700,4,
+++−−+,50,10,12,10,200,4,
−+−−+−,10,10,4,10,700,1,
+++−+−,50,10,12,10,700,1,
+−+−+−,50,2,12,10,700,1,
−−+++−,10,2,12,60,700,1,
−−++++,10,2,12,60,700,4,
−+−+−+,10,10,4,60,200,4,
+−++−−,50,2,12,60,200,1,
+−−−+−,50,2,4,10,700,1,
++−−++,50,10,4,10,700,4,
+−+++−,50,2,12,60,700,1,
−−+−−+,10,2,12,10,200,4,
+−+−++,50,2,12,10,700,4,
−+−−−+,10,10,4,10,200,4,
++−−−−,50,10,4,10,200,1,
000000,30,6,8,35,450,2.5,
++−−+−,50,10,4,10,700,1,
−−−+−+,10,2,4,60,200,4,
++++−−,50,10,12,60,200,1,
++++−+,50,10,12,60,200,4,
++−+++,50,10,4,60,700,4,
+−−+++,50,2,4,60,700,4,
−+++−−,10,10,12,60,200,1,
+−−++−,50,2,4,60,700,1,
−−+−++,10,2,12,10,700,4,
−++−−−,10,10,12,10,200,1,
+++++−,50,10,12,60,700,1,
000000,30,6,8,35,450,2.5,
+−++++,50,2,12,60,700,4,
−+++++,10,10,12,60,700,4,
++−−−+,50,10,4,10,200,4,
+−−+−−,50,2,4,60,200,1,
−−+−+−,10,2,12,10,700,1,
−+−−++,10,10,4,10,700,4,
−++−−+,10,10,12,10,200,4,
000000,30,6,8,35,450,2.5,
+++−++,50,10,12,10,700,4,
+−+−−+,50,2,12,10,200,4,
−+−+++,10,10,4,60,700,4,
−−+−−−,10,2,12,10,200,1,
000000,30,6,8,35,450,2.5,
000000,30,6,8,35,450,2.5,
000000,30,6,8,35,450,2.5,
+−++−+,50,2,12,60,200,4,
−−−−++,10,2,4,10,700,4,
+−+−−−,50,2,12,10,200,1,
++−++−,50,10,4,60,700,1,
−−−−−−,10,2,4,10,200,1,
−+−+−−,10,10,4,60,200,1,
+−−−−+,50,2,4,10,200,4,
−−−+++,10,2,4,60,700,4,
−++++−,10,10,12,60,700,1,
000000,30,6,8,35,450,2.5,
