,Well,No.concs,Power,Vol/µl,[prot]/µM,index,0
0,A1,8.0,2.5,30.0,6.0,0,0.0
1,B1,8.0,2.5,30.0,6.0,1,12.5
2,C1,8.0,2.5,30.0,6.0,2,67.5
3,D1,8.0,2.5,30.0,6.0,3,182.5
4,E1,8.0,2.5,30.0,6.0,4,372.5
5,F1,8.0,2.5,30.0,6.0,5,647.5
6,G1,8.0,2.5,30.0,6.0,6,1022.5
7,H1,8.0,2.5,30.0,6.0,7,1500.0
8,I1,8.0,2.5,30.0,6.0,0,0.0
9,J1,8.0,2.5,30.0,6.0,1,12.5
10,K1,8.0,2.5,30.0,6.0,2,67.5
11,L1,8.0,2.5,30.0,6.0,3,182.5
12,M1,8.0,2.5,30.0,6.0,4,372.5
13,N1,8.0,2.5,30.0,6.0,5,647.5
14,O1,8.0,2.5,30.0,6.0,6,1022.5
15,P1,8.0,2.5,30.0,6.0,7,1500.0
16,A2,8.0,2.5,30.0,6.0,0,0.0
17,B2,8.0,2.5,30.0,6.0,1,12.5
18,C2,8.0,2.5,30.0,6.0,2,67.5
19,D2,8.0,2.5,30.0,6.0,3,182.5
20,E2,8.0,2.5,30.0,6.0,4,372.5
21,F2,8.0,2.5,30.0,6.0,5,647.5
22,G2,8.0,2.5,30.0,6.0,6,1022.5
23,H2,8.0,2.5,30.0,6.0,7,1500.0
24,I2,8.0,2.5,30.0,6.0,0,0.0
25,J2,8.0,2.5,30.0,6.0,1,12.5
26,K2,8.0,2.5,30.0,6.0,2,67.5
27,L2,8.0,2.5,30.0,6.0,3,182.5
28,M2,8.0,2.5,30.0,6.0,4,372.5
29,N2,8.0,2.5,30.0,6.0,5,647.5
30,O2,8.0,2.5,30.0,6.0,6,1022.5
31,P2,8.0,2.5,30.0,6.0,7,1500.0
32,A3,8.0,2.5,30.0,6.0,0,0.0
33,B3,8.0,2.5,30.0,6.0,1,12.5
34,C3,8.0,2.5,30.0,6.0,2,67.5
35,D3,8.0,2.5,30.0,6.0,3,182.5
36,E3,8.0,2.5,30.0,6.0,4,372.5
37,F3,8.0,2.5,30.0,6.0,5,647.5
38,G3,8.0,2.5,30.0,6.0,6,1022.5
39,H3,8.0,2.5,30.0,6.0,7,1500.0
40,I3,8.0,2.5,30.0,6.0,0,0.0
41,J3,8.0,2.5,30.0,6.0,1,12.5
42,K3,8.0,2.5,30.0,6.0,2,67.5
43,L3,8.0,2.5,30.0,6.0,3,182.5
44,M3,8.0,2.5,30.0,6.0,4,372.5
45,N3,8.0,2.5,30.0,6.0,5,647.5
46,O3,8.0,2.5,30.0,6.0,6,1022.5
47,P3,8.0,2.5,30.0,6.0,7,1500.0
