Pattern,Vol/µl,[Prot]/µM,No. conces,Power,STdev
000a,35,6,9,-0.5,
−−−−,20,2,6,1,
+−−−,50,2,6,1,
−+−−,20,10,6,1,
++−−,50,10,6,1,
−−+−,20,2,12,1,
+−+−,50,2,12,1,
−++−,20,10,12,1,
+++−,50,10,12,1,
00a0,35,6,3,2.5,
0a00,35,-2,9,2.5,
a000,5,6,9,2.5,
0000,35,6,9,2.5,
0000,35,6,9,2.5,
0000,35,6,9,2.5,
0000,35,6,9,2.5,
0000,35,6,9,2.5,
0000,35,6,9,2.5,
0000,35,6,9,2.5,
0000,35,6,9,2.5,
0000,35,6,9,2.5,
0000,35,6,9,2.5,
0000,35,6,9,2.5,
0000,35,6,9,2.5,
A000,65,6,9,2.5,
0A00,35,14,9,2.5,
00A0,35,6,15,2.5,
−−−+,20,2,6,4,
+−−+,50,2,6,4,
−+−+,20,10,6,4,
++−+,50,10,6,4,
−−++,20,2,12,4,
+−++,50,2,12,4,
−+++,20,10,12,4,
++++,50,10,12,4,
000A,35,6,9,5.5,
